content,class
haha its so funy to se the salt of westerners that top views of youtube  goes to video they dont even understand kep the salt up,0
 views,0
opa lt,0
my honest opinion its a very mediocre song nothing unique or special  about her music lyrics or voice nothing memorable like bilie jean or  beat it before her milions of fans reply with hate coments i know this  is a democracy and people are fre to se what they want but then dont i  have the right to expres my opinion please dont reply with dumb coments  lie if you dont like it dont watch it i just came here to se whats  the buz about milion views and didnt like what i saw ok,0
i hate it when laura benet comes in,0
omg its going to have bi views,0
why do i fel like as if gangnam style copied their song from this,0
every time i hear this song i think about iniestas goal against the netherlands,0
this song is nice,0
i think they were drunk when they shot the first half of the video and then the sec on half comes in and her bobs are magicaly biger and  shes more beautiful sudenly and the dude practicaly vanishes ,0
this is shit and so autotuned,0
like eminen,0
great,0
me and my big sister like you,0
i love,0
im only checking the views,0
old and god song,0
nice,0
who knows the name of that girl and that one and that one,0
the most watched video on youtube is psys gangnam style with   bilion views psy  gangnam style 강남스타일 mv,0
are those real animals,0
it loks so real and my daughter is a big fan and she likes a lot of your  songs,0
best song ever ,0
i lover this song,0
the great mother of the jungle swet and natural i like her videos,0
love this song,0
  every single types of face on earth,0
i like,0
 years ago damn ,0
greathis is a song,0
this song is fu cking awesom,0
do you guys know theres a part two of this song d,0
ouf ouf ouf ,0
laughing my fucking as of,0
litle psy only  months left tumor in the head  we wil mis u lt,0
this video is great  i love thisand like much katy pery,0
i    loved        it           so       much          because         you          get         to         stand            fear ,0
 views comentsoh my lanta,0
beautiful,0
 years ,0
love it,0
so underated beterbr than  katy pery  but in not saying katy is bad but she has no meaning to her songs shakira hasbr meaningful songs these are the songs which bring memories and vibes i wil mis it   br    ,0
im watching this on sumer ,0
god times ,0
how did this video in al of youtube get this many views and likes why  gangnam style i dont have a problem with it i just dont understand the  phenomena behind it its just like any other random music video out  there ,0
   im prety sure that tiger just wanted a hug,0
best song go shaki d,0
love these guys love the song,0
thumbs up if u checked this video to se hw views it got,0
god music,0
dont love someone so much love the way u lie,0
best rap ever,0
i just realized that this verses in this song have the exact same melody as  the verses in hey ho by the luminers,0
the best fifa world cup song for sure,0
youtube coments be likebr this is so  years ago ,0
what the hel this song is already five years old i remember when it first came out this was my jam,0
lets get it to  bilion,0
this song is so beauty,0
cmon katy you are so close to  subscriberscome up with  another hit like this and it wil hapen,0
katy pery  roar oficial  soundsofsunday   music  ,0
sory to al my hatersbr br br br br br br br br br br br br for party rock en,0
cute  ,0
how can this music video get  bilion views while im the only one watching  here on earth lol,0
the first coment is chuck norus ovbiously d,0
the song is sad,0
god she is so hot,0
id rather hear some propa explicit gangsta rap insted of this garbage  this song is trash ,0
i love you shakiria,0
she kinda let herself go huh,0
this very god so i dance with some companions front of the whole schol,0
i think he was drunk during this  x,0
nice song,0
how does this video have  views if there are only  milion  people on earth,0
memories,0
i hate rap and i like this song,0
more views than niki minaj anaconda,0
since she is a feminist champion why would she want to reinforce the  stereotype of girls being girly by painting the nails of an elephant that  probably wouldnt even apreciate it,0
love it,0
,0
is that megan fox,0
since when has katy pery had her own youtube chanel,0
perfect lt,0
i love song ,0
eminemlt br the best raper everlt,0
love the you lie the god,0
god times ,0
party rock due and duel,0
this the best song i ever hirebr ,0
rihana and eminem together are unstopable,0
    ,0
honestly i wana se you be brave oh wait,0
this is fucking shit from the first notes that becomes clear complete  and uter shit may god come and cleanse the earth of the complete and  uter idiocy which is humankind,0
xd i was going crazy fuckin crazy watchin this brah,0
i swear shakira keps geting more and more gorgeous she definitely loks more gorgeous with her hair this way than super curly,0
waka waka,0
geting to bilion views holy moly,0
i like itbr ,0
she is perfect lt,0
this song never gets old love it,0
col song ,0
who is watching in  like,0
this is the best of the best video in world,0
katy you are a shit go dieroar is a flop,0
this loks so fun and its a god song,0
is this the video that started the whole got my dick stuck in an elevator  excuse thing ,0
,0
best music ever,0
best for partying ,0
hi i am from bangladesh ,0
at least she didnt get rid of her completely useles makeup,0
like,0
like,0
socol,0
love song,0
just gona stand there and hear me cry ,0
,0
love your song makes me hapy,0
 milion dislikesepic failready for you fanboys,0
whose watching this in  if so hi,0
youtube money ,0
i mis this song ,0
we ned to get this to  bilion views,0
 i hate this song ,0
best song ever made i swear d i stil hear even doe it old who else,0
i love rihana from thailand,0
 out of  people in the would saw this video just  in  years and yeat i only get  words out of the hole song,0
katy pery is awesome,0
i love it ,0
why dafuq is a korean song so big in the usa does that mean we suport  koreans last time i checked they wanted to bomb us ,0
me and my aunt love this song,0
i love this song so much ltbr kep em coming,0
opa yeah best song,0
shakira u are so wiredo,0
i found out this song now,0
lets be honest you wouldnt last  day on your own in the jungle stop  living n a fairy world,0
lmfao is the best,0
 bilion for this shit,0
so crazy over  bilion views not us not uk its korea republic its  asia,0
helo brazil ,0
maybe the best music video in the last  years this is how pop music is  done folks,0
awesome,0
the best world cup song ever,0
the guy in the yelow suit kinda loks like jaesuk ,0
fucking love it omg v,0
this song wil never get old,0
eminem  love the way you lie   ,0
she is a perfect wonder,0
i love this song because we sing it at camp al the time,0
hi nice song shakira sory for bad brazilian,0
,0
megan fox is gorg in this eminem is truly the rap god ,0
mix  psy  gangnam style 강남스타일 mv psy  gangnam style 강남스타일 mv,0
why does this video have so many views because asian things are awesome and nonasian countries are jely so they  try to learn from asia by loking at this video d,0
stil the best d,0
thumbs up if you think this should have  bilion views,0
this has so many views,0
this song makes me want to drink bleach,0
 milion likes xd even the subscribers not  milion xd,0
rihana loks so beautiful with red hair ,0
bobs,0
beautiful,0
loves it,0
thanks to this video we know that nokia phones can survive a plane crash,0
she is a fol this is a folish video the lyrics are al about her and  how great she is she is arogant obviously but the thing is that there  are a lot of idiots lok how many hits this garnered the young stupid  girls who listen to her are numbering in the milions i gues this video  is a piece of trash why would anyone ever like it or listen to it because  these stupid litle girls have idiots for fathers and mothers and so they  are going to turn into idiots also just like this stupid singer ,0
hi youtube,0
this was such an epic track and the video is awesome,0
i want new song,0
i love katy pery,0
love the video ,0
justin bieber  gay ,0
and im shuflin stil today d,0
i love you because u make me smile when im sad you cher me up with your  beautiful songs  lt,0
lmfao  party rock anthem ft lauren benet gonrock,0
your the best,0
i love her gren eyes,0
lt this song so muchshakira your a realy god artist,0
i love this song so much,0
the most viewed youtube video of al time,0
love you,0
best song for everbr ,0
lol i love this song,0
music yeah,0
i started hating katy pery after finding out that she stole al of the  ideas on her videos  from an old comic bok yet her music is catchy ,0
this coment is wrong,0
shakira is the best,0
that guy charley of lost tv show,0
in my opinion i think you lok beter with black hair then blond hair  ,0
omg over  bilion views,0
i hate this music fucking singer and every koean chainise ana us sucks me dick,0
love the way you lie quot,0
thumbs up if youre watching in ,0
its ben back for quite a while now,0
why does this have  bilion views this song is so anoying,0
you are al shep period this is terible music,0
beautiful song,0
best song,0
omg love this,0
dislike now one knows real music  ex enimen ,0
he is god boybr i am krean i like to eminem,0
this song is great there are  views wow,0
the best song ever,0
katy perys songs are the best of the songs of women artists,0
fire,0
loved ,0
wow increible song,0
wow this video almost has a bilion views didnt know it was so popular ,0
i fuckin love this songbr br br after im sexy and i know it ,0
i love you katy pery lt ,0
just checking the views,0
ilovethisong,0
this video is so racist there are only animals,0
eminem rocks,0
very god like d,0
waka waka eh eh,0
god party,0
just coming to check if people are stil viewing this video and  aparently they stil do,0
sory but eminmem is a worthles wife beating bastard,0
how is this shit stil relevant ,0
i wish that guy wasnt so protective geze,0
sexy shakira,0
stil watching this  years later ,0
dang dat litle kid gat moves,0
i love you  p,0
everyday im shuflin,0
roar is without a doubt your best songfel god song with a mesage for  everyone god job katy,0
is that charlie from lostbr ,0
d,0
love it,0
i  love you eminem,0
almost  bilion,0
people who say that this song is to old now theres no point of  listening to it suck just stfu and enjoy the music so your mom is old  to but you stil listen to her right,0
 fucking years are fucking past so fucking fast fuck,0
eminem best raper al the time,0
party rock xd,0
i think about  milions of the views come from people who only wanted to  check the views,0
stil listening in ,0
hi loving it,0
i realy dont understand how this has  milion views lol im not  hating or anything its just confusing ,0
anyone else think this video theme is a bit of an insult to  days later ,0
 dislikes like dislike themselves,0
cutie girl and beautiful song,0
this makes me mis the world cup,0
wel this dudes faded the fuck out,0
dumb guy why is there  bilion views when there are  milion people on  earth also i know what  equals  i am a smartie pants,0
i love song ,0
 bilion views only  milion shares,0
epic,0
god,0
almost  bilion views nice,0
why i dont se any coments but mine,0
her voice is so wow,0
yeah lets start the party,0
the funy thing is that this song was made in  but it tok  years to  get to america,0
they shufle hard that they made an earthquake in nepal,0
wow,0
 but im stil listening to this,0
her voice sounds weird and plus shes cute for a blonde,0
it is wonderful,0
shakira is very beautiful,0
y love you,0
love this song ,0
we pray for you litle psy ,0
i heard this when i was only  years old and i stil love it,0
waka waka,0
how could k people dislike this song or video,0
helo im from bulgaria,0
never gets old,0
i like the musicbut is anyone listening to the lyrics,0
that time in  where this shirt was col,0
 wiews wow,0
i love this song so much,0
,0
shes so prety,0
love your songsbr super colbr ,0
lip synch is terible,0
so spousal abusue col thats great,0
glad to know im not the only one who knows its katheryns birthday today   hapy birthday katyand my sister they seriously have the same  birthday,0
this song is about rape and cheating     br br br br br br br br br br basicaly,0
i love her,0
is it bad that my realtionship is just like this lol,0
like if you came here to se how many views this song has,0
 the time past so fast ,0
party rock anthem is loveparty rock anthem is life,0
wil this song ever reach  bilion views,0
love shakira,0
what nicei,0
never gets old best song ever  ,0
omg this oldspice spraytan party comercial omgim siting here no  this isnt a real thing is it omg ,0
lmfao,0
o shuflin,0
i like it,0
shakira is the best dancer,0
i love the way you lie,0
shakira is my favourite singer wo,0
in the begining she was scared of everything and next thing you know she  is out in a leopard bikini,0
to everyone joking about how he hacked to get  bilion views because  theres a certain amount of people or whatever  he actualy did buy views,0
was that meghan fox,0
hey its charlie from lost,0
lol so funy love it,0
just came here to check the views p,0
shakira is best for worldcup,0
if only i had the body like katy pery  she loks so hot i love her  ,0
not  milion view anymore ,0
best song,0
 years and i stil dont get the music video help someone,0
i like the lyrics but not to music video,0
because i am a championand youre gona hear me roar   today i am my own champion  today i am a champion for the creator  today i am doing positive in my world today i am blesing and healing al around me today i am sucesful and  creating suces  ,0
holy crap  views,0
helo i am from azerbaijanbr ,0
why tiger sucumbs to a beautiful girl probably male tiger   hahaha,0
love you shkira,0
omg that loks just like a piece of the miror of hary poter and the deathly halowsbr either that house sirius black,0
no where near one of eminems actual best songs real fans know what im talking about untitled cold wind blows welcome  hel elevator busines wtp almost famous  to life rock botom no apologies same song and dance without me way i am toy soldiers mosh and insane lt songs of the top of my head thats beter,0
i like this songbr ,0
wat da fuck this the most viewed video in youtube,0
just dance  ,0
not bad,0
it is a shit,0
i loved this song when i was in my tenage years,0
waka best one,0
i love it and my mom to,0
yesterday this video have  milion likes and now it has  milion,0
go here to check the views ,0
opa gangnam style,0
how is this the most watched eminem video it beats not afraid ,0
love lmfao party rockin kep it going,0
wow i love it ,0
love this song,0
i love you katy pery because you wil sing nice than shakira,0
i like and love so much people al friends i love shakira ,0
the first bilion viewed this because they thought it was realy col the  other bilion and a half came to se how stupid the first bilion were,0
your going to hear me roar     soundsofsunday ,0
god thing she brought her sprayon tan hairstylist makeup artist and  cameraman,0
i remember back when this was so popular everyone on our schol was shufling it was crazy,0
 so cute,0
eminem et rihana trop bele chanson,0
this has more views than quen and michael jackson  bilion views omg,0
enough with the whole how does this have two bilion views if theres only   milion on the planet we get it youre joking its not funy anymore,0
i love this song,0
how can this song have  milion views while there are only  milion  people in the world,0
col song ever god thing its here,0
i am going to blow my mind,0
you can not hate eminem and nirvanatrust me,0
i love this song,0
katy is the best    ,0
imagine this in the news crazy woman found acting like a tiger and bit jims  ear of,0
wow,0
she is beautiful but it is not american,0
ah god old times ,0
awesome song ever,0
can somebody wake me up when we get to  bilion views,0
nokia spoted,0
shakira i love you,0
i love this song ampi love shakiralt,0
love it,0
charlie heroin wil do that to you,0
who is stil watching in ,0
so many coments,0
hothot,0
eminem is a ginius stop,0
this song is like an oreo the black part is god but the white part is beter,0
way was their a guy waring a robot head,0
she is god,0
nature is beautiful no ned to place tits in video to impres people,0
we get it you came here for the views ,0
party time,0
now its  views pls coment the view count the next hour p,0
se it al human foly right,0
this is so stupid if you roared at a lion in real life youd dede,0
how can this have  bilion views when theres only me on the planet lol,0
waka waka ,0
br,0
very pleasant to hear haha god,0
shakira is perfect,0
like this in  d,0
wanderfol is love or miusic,0
why did they stop their carer in music this music rocks ,0
eminem the best ever,0
love the way you lie featuring rhiana hes an awesome raper shes an awesome singer,0
katy pery cant sing for shit al i hear it autotune,0
col,0
i like this song ,0
i love roar and katy pery she is my favorite singer and sometimes i just  mute the volume and lok at her,0
love,0
who else would give katy pery a god old mighty roar ,0
this song always gives me chils ,0
i love thisthe talents of eminem and skylarworks wel together,0
i wanted to know the name of the guy that dances at  anybody knows ,0
i love your songs,0
every time i watch this mv i just so so so glad that i live in a world that  dont have to wory about runing from a real human eating tiger,0
awesome video this is one of my favorite  songs,0
why are they milion coments when there is only  youtube users   milion fake acount or psy hacked youtube,0
eminem  rihana,0
this coment wil randomly get lots of likes and replies for no reason i  also like jelo strawbery jelo,0
fuck you eminem,0
 like,0
charlie from lost,0
this is the best funy and viral video of history youtube the true,0
super nice love musique,0
shakira,0
i like this song the video goes perfect with it,0
i like this song because of al the animals and i like this song ,0
strong mesages in every  song ive  heard,0
 song in world even in ,0
this is so colwhy havent i heard this before,0
shakira is diferent  she is so hapy al the time and she is spending for africa br she can dance  sing and she speaks  languages,0
so hes admiting he kiled his girlfriend,0
hey i think i know what where dealing with here i have some theories of  how this couldve goten bilion hits  this was mabey made in korea and its realy popular there so they were  stuck watching this over and over again  over bilion people have aces to the internet including youtube and  the numbers are rising by  half of the populatoin wil be conected  hackers in korea may have loved it so much they rised it to bilion  hits to make it more popular   the song was featured in a just dance game on multiple mps and ben  sen on concerts and even on new years eve event in  so just by seing  those you mabey ading more hits to this video  you are complaining to much on how the heck this has b hits,0
like me,0
when i hear katy singing this i cry the song has got depth,0
col,0
omg i love you katy pary your songs rock thats a total  subscribe,0
my telephone,0
roar ,0
shufling al the way with lmfao i like this one wish i could shufle like these crazy dudes,0
god,0
you gona hear me roar,0
i remember this d,0
great song you go katy,0
she is so beautiful,0
i cried this song bringing back some hard memories,0
when i se this back in  i ask myself how people got to like this song sems like gangnam style copied this style though might just be me but yea,0
how can there be  views when im the only person alive after  the zombie apocalypse  gretings spoderman ,0
god,0
p e a c e  amp  l o v e   ,0
im not a big fan of the song but this video is awesome,0
i want to smack this year boy in to forever,0
ilove shakira ,0
katy pery songs arent that bad ,0
 fuck yeah,0
waka waka,0
is that megan fox,0
thumb up if you watching in  and  you like it,0
rihana love me ,0
no one makes me wana party like lmfao does i just wana rage every time one of these songs comes on the only other band that does that is quoton the rocks incquot those kids know how to party,0
this is geting old,0
i always end up coming back to this songbr ,0
very nice,0
super music,0
omg this guy sounds like an american profesor gren,0
love this video and the song of course,0
beautiful song beautiful girl it works,0
love song,0
wow dance show,0
col col col col col col col,0
it was  col   the best   song ever  ,0
wow,0
charlie from lost,0
wow,0
i am  viewer d,0
 bilion,0
how do you forget you have a choice and what the fuck surviving a plane  crash has a  chance of hapening,0
ive figured out why i dislike this song its suposed to be a power  balad right something thats uplifting and motivating by the end  however the final chorus has no extra umph at the end and actualy sounds  just like the first one instead of crescendoing into a powerful finish  roar just says on the same wavelength it fals flat,0
i like this song very much,0
like,0
party rock  ,0
remove this video its wank,0
this awesome song neded  years to reach to  mil views while tango switch bitch neded  year its not fair,0
i love it,0
this jap is such a piece of shit he is such a worthles fish head i dont  know how any one likes this dumb untanlted gok this isnt even fucken  music this is so fucking sad that this is even such thing people are so  fucked up,0
screw this chinese crap i dont even understand what he is saying why isnt  he speaking english like everyone should,0
if she realy did this there shes hardcore,0
best party song literaly party rock is in the house tonight,0
i was born in the wrong generation,0
this is increidebl,0
is that tiger caled katy pury,0
she is fit,0
very god song,0
 the last year of decent music,0
waka waka ,0
this song is awesome,0
new goal     lets go for it,0
that shake and that golden and black robot were realy partying ,0
for al of the litle kidz out there there is like  to  bilon people on  earth not  to  milonget you facts straight before posting coments,0
you think youre smart        headbut your face,0
i turned it on mute as son is i came on i just wanted to check the  views,0
and somehow she has aces to makeup in the midle of the wods,0
its funy because i listen to rock and death metal but i like this,0
i like the mph version beter,0
that is megan fox,0
like,0
i love you katy ,0
the population of world is more than  bilion,0
the boyfriend was charlie from the tv show lost ,0
i could finaly do the spongebob but i started yesterday xd,0
love,0
how stupid humanity is,0
charlie d those who saw lost only wil understand,0
best song ever ,0
this has had over  bilion views  holy shit,0
this is my favorite song ever love this party rock it everybody,0
should not have paused the music this is a clip not a movie,0
nice song,0
i wil finish this disertation and i wil laugh in its face when i  finish roar ,0
she is megan foxbecause she is very similar,0
i know it old song but like if you watching in ,0
it pises me of a bit that blank space has more views  mio than this meh ,0
super awesome videobr ,0
 something to dance to even if your sad just dance   psy  gangnam style 강남스타일 mv ,0
amazing,0
 lt,0
shes awesome xd,0
i likedbr ,0
lets party,0
it should be ilegal to be this godloking as this babe is,0
katy pery  roar oficial  i love this song  and video katy pery rocks waho ,0
mindblowing dancesuperb song,0
the best song i saw ,0
i love dis song ,0
 milions comentars and  bilion views,0
most viewed video on youtubedang those views can almost  dominate the entirechina,0
almost a bilion,0
realy god song br you know love song song,0
great song,0
my th grade teacher loked exactly like katy pery come to think of it,0
 bilion views wow not even baby by justin beibs has that much he doesnt  deserve a capitalized name,0
katy has a voice of an angel,0
thumbs up for robo guy baby,0
eminem is my insperasen and fav,0
you know a song sucks dick when you ned to use gogle translate to know  what the fuck its saying,0
i like shakira,0
helo al  earth population of the world hope your having a great  day ,0
shufle,0
what is he saying ,0
 views near,0
this fucking song like an oreo the only white part is the god ,0
thats god ,0
megan fox and eminem together in a video  doesnt get beter than that,0
i love you,0
this is the only video on youtube that get so much views just because we  want to se how much views it has  every day i mean most people  think a video is popular when it actualy gets  views,0
beautiful,0
i love it,0
awesome,0
we al love you katy pery lt,0
 lets make it first female to reach one bilion share it and replay it ,0
i love katy pery lt lt,0
i dont even watch it anymore i just come here to check on  bilion or not,0
they said this video are not deserve bilion views  while they kep  visiting it to watch the viewer  ,0
im stil watching in ,0
my favorite song,0
omg,0
can we reach  bilion views by december  ,0
i remember when everyone was obsesed with gangnam style ,0
i love this song for two reasons it is about africa i was born in beautiful south africa,0
so freaking sad,0
i love this song its for empowering every woman   youre gona hear me roar ,0
so beutiful,0
wow coments section on this stil active not bad also  coments  now ,0
lol,0
nice ,0
many memories,0
why the elephant have a broken horn,0
 bilions in ,0
 like,0
is that girl is megan fox ,0
like,0
who is going to reach the bilion first  katy or taylor ,0
almost  bil what wow gs sucks in my opinion,0
this wil always be my favorite songbr but my favorite part is a href href in the video ,0
i stil lisening this ,0
psykorean,0
it makes me hapy instantly and makes me forgot everything bad hapening,0
you cant stop the shufle,0
i love shakirabr ,0
dear person reading this you are beautiful and loving have a great day,0
awesome songcongratulations,0
ah back when my life didnt suck,0
the best,0
she is god does she make any more music if she doesnt she should,0
gangman sty drop the bas,0
 bilioncoming son,0
stil watching in ,0
amazing song,0
the litle psy is sufering brain tumor and only has  more months to live  please pray to him and the best lucks,0
the funy thing is  of the views are spam bots i mean cmon   bilion views bs,0
everyones back lol this is almost  years old and people are stil hear  xd,0
song is bad,0
 were the years for pop,0
katy pery  roar oficial ,0
this song is the most boring asinine song i have ever heard coming from a  guy who liked tenage dream the song ever since katy perys divorce  its wave after wave of shity but sucesful songs for those of you  saying this is the next wave of pop music stick it up your as katy  pery is like sily puty ,0
like the songs,0
i want to be that robot guy,0
love this song my socer team made a cd for our couch with this song on it,0
stupid people this video doesnt have  bilion visits have  thousands  milions,0
i remember this song,0
i totaly love this song absolutely fantastic i love ya shakira,0
shakira song waka waka,0
i lovet,0
  views,0
i realy like this song,0
shufle,0
i believe that socer promotes terorism bad choice shakira,0
love this song,0
my favorite song ,0
i remember when this used to be so popular al around at the timebr i stil love it,0
 years son,0
seriously how did they come up with that beat it is insanely god holy fuck,0
this is the nd most best song when im gone by mampm,0
where are shakifans,0
you exactly who u want to bewatching your favourite rapers on tv,0
eminem rap can be easy for a boy but i can do that,0
this song is racist,0
i realy am madly in love with this woman,0
beautiful song,0
shes got it al incredible voice extremely hot nice tits,0
thumbs up if you watched it in ,0
lt,0
is that megan fox xd,0
what can i saythis song he just change the world completely so god job psy and your girls are awesome  ,0
simply rap god,0
why does the world not shufle,0
i love this song,0
charlie from lost,0
realy want this video to get  bilion views would be amazing,0
admit it you just came here to check the number of viewers ,0
this song is just realy fun ,0
love trop fort votre  clip,0
so cute that monkey  ,0
this song means so much to me thank you  so much x,0
sick music for sick females,0
haha i cant believe how many kids listen to eminem  you kids know that he does drugs and ends high in jail i wonder why he never ended od ,0
love this song,0
this song never gets old lt ,0
this video is very inacurate a tiger would rip her face of,0
why so many downs,0
οh my god  roar is the most liked video at vevo  while  months ago  was justins baby congrats katy  aplause lt ,0
if you are a person that loves real music you should listen to quotcruz supatquotbr he is awesome as fuck just as eminem used to be,0
one of the best song of al the time,0
i shufled while listening to this song the ilnes is spreading,0
wery god,0
i learned the shufle because of them,0
love this song so much one of my faves x,0
i love music,0
song name,0
who the fuck cheats on megan fox,0
this song is so awesomeshe made everything stand out and al the viewers  could imagine themselves at the seting of the video awesome job katy  pery,0
came here to check the views godbye,0
put famous people in the jungle for an hour and lok what hapens,0
i dont now why im watching this in ,0
i gus this song is one of my worst fears in life to be with someone who abusive towered me and live with him ,0
how are there  bilion views and theres only  milion people in the  world multiple acounts,0
is that megan fox,0
dance ,0
you gota say its funy wel not  bilion worth funy but stil it  clicked and everything went uphil at least you dont have jbs shit on  ,0
blue eyes cant be trusted  uranus bles america,0
most popular video on youtube  ,0
 and more,0
honestly speaking except taylor swift and adele i dont lile any of the  modern day singers but i must say whenever i hear this song i fel  gosebumps its quite inspiring thanks mis pery,0
wierd but funy,0
shakira you are so beautiful you are lovely lively we love you,0
rihana is absolutely gorgeous in this video,0
lmfao best songs ever,0
its a god song and i like her video clip because its a bout a girl that  her airplane crashed on a land far far away and she found the way to  survive and i love the pet tiget to kity purpy lol d,0
i love the song roar it make me think am fil the way,0
shes an old whore,0
god song,0
she named the tiger kity pury  no seriously she did check the video ,0
shakira ,0
i fucking hate her why because she dont write her songs she got  producers for that second why tha fack is she in every song almost nude  mayby because shes an atention hoker,0
she loks like megan fox  xd,0
i stil to this day wonder why this video is so popular  iluminati  confirmed ,0
best song ever x,0
people who believe in iluminati are stupid the same people believe that   was made by the american government,0
shakira,0
love it,0
stil a very fun music video to watch ,0
 years later i stil love this song br axy,0
leme top coments please,0
cmon  bilion views,0
im sory katy pery i was being weird i stil love you lt,0
waka waka,0
this video deserves b views,0
i check back often to help reach x views and i avoid watching baby,0
lol this youtuber oficialpsy is geting so much money lol,0
super rihana,0
in what south american jungle or any jungle for that mater do you find an  african elephant and a bengal tiger in the same place who made this video,0
charlie got of the island and dated megan fox but what about claire,0
wow she is sexy xd,0
br i like video,0
every bady yust have a god time,0
col,0
the views theyre over ,0
wow  min ago,0
man she is beautiful,0
i like so much this music  god ,0
 are  there  people who like  this shit hahahahah pbr this isnt even real music its computerbased musicbr wel done music industry,0
whats with the guys jacket  sleve and a sleveles arm,0
awesome,0
i like you  katy pery ,0
lol this shit never gets old,0
ஜ ｄａｍｎ ｔｈｉｓ ｃｏｍｅｎｔ ｉｓ ｆａｎｃy ஜ,0
who else saw jeses dancing sory if i speled it wrong  peace,0
